time,channel,query_id,rank,url,url_slug,status,md_path,html_path,json_path,attempt,elapsed_s,prompt,search_url
2025-12-17 18:56:46,SEO,Show_me_10_funny_coffee_mugs_under__25_from_Etsy,1,https://www.etsy.com/listing/1711821132/funny-coffee-mug-i-came-i-saw-i-forgot,https___www_etsy_com_listing_1711821132_funny-coffee-mug-i-came-i-saw-i-forgot,success,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1711821132_funny-coffee-mug-i-came-i-saw-i-forgot.md,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1711821132_funny-coffee-mug-i-came-i-saw-i-forgot.html,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1711821132_funny-coffee-mug-i-came-i-saw-i-forgot_full.json,1,18.44,Show me 10 funny coffee mugs under $25 from Etsy,https://www.etsy.com/search?q=Show+me+10+funny+coffee+mugs+under+$25+from+Etsy&explicit=1&location_query=US&ship_to=US
2025-12-17 18:57:06,SEO,Show_me_10_funny_coffee_mugs_under__25_from_Etsy,2,https://www.etsy.com/listing/1858817931/work-forecast-coffee-mug-funny-coworker,https___www_etsy_com_listing_1858817931_work-forecast-coffee-mug-funny-coworker,success,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1858817931_work-forecast-coffee-mug-funny-coworker.md,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1858817931_work-forecast-coffee-mug-funny-coworker.html,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1858817931_work-forecast-coffee-mug-funny-coworker_full.json,1,19.24,Show me 10 funny coffee mugs under $25 from Etsy,https://www.etsy.com/search?q=Show+me+10+funny+coffee+mugs+under+$25+from+Etsy&explicit=1&location_query=US&ship_to=US
2025-12-17 18:57:30,SEO,Show_me_10_funny_coffee_mugs_under__25_from_Etsy,3,https://www.etsy.com/listing/1250436808/custom-text-coffee-mug-customizable,https___www_etsy_com_listing_1250436808_custom-text-coffee-mug-customizable,success,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1250436808_custom-text-coffee-mug-customizable.md,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1250436808_custom-text-coffee-mug-customizable.html,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1250436808_custom-text-coffee-mug-customizable_full.json,1,22.61,Show me 10 funny coffee mugs under $25 from Etsy,https://www.etsy.com/search?q=Show+me+10+funny+coffee+mugs+under+$25+from+Etsy&explicit=1&location_query=US&ship_to=US
2025-12-17 18:57:45,SEO,Show_me_10_funny_coffee_mugs_under__25_from_Etsy,4,https://www.etsy.com/listing/4317050361/hidden-swear-message-mug-fuck-this-shit,https___www_etsy_com_listing_4317050361_hidden-swear-message-mug-fuck-this-shit,success,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_4317050361_hidden-swear-message-mug-fuck-this-shit.md,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_4317050361_hidden-swear-message-mug-fuck-this-shit.html,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_4317050361_hidden-swear-message-mug-fuck-this-shit_full.json,1,13.68,Show me 10 funny coffee mugs under $25 from Etsy,https://www.etsy.com/search?q=Show+me+10+funny+coffee+mugs+under+$25+from+Etsy&explicit=1&location_query=US&ship_to=US
2025-12-17 18:58:01,SEO,Show_me_10_funny_coffee_mugs_under__25_from_Etsy,5,https://www.etsy.com/listing/4380590838/fun-mug-funny-f-caw-ny-chicken-coffee,https___www_etsy_com_listing_4380590838_fun-mug-funny-f-caw-ny-chicken-coffee,success,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_4380590838_fun-mug-funny-f-caw-ny-chicken-coffee.md,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_4380590838_fun-mug-funny-f-caw-ny-chicken-coffee.html,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_4380590838_fun-mug-funny-f-caw-ny-chicken-coffee_full.json,1,15.76,Show me 10 funny coffee mugs under $25 from Etsy,https://www.etsy.com/search?q=Show+me+10+funny+coffee+mugs+under+$25+from+Etsy&explicit=1&location_query=US&ship_to=US
2025-12-17 18:58:14,SEO,Show_me_10_funny_coffee_mugs_under__25_from_Etsy,6,https://www.etsy.com/listing/1673483757/im-sorry-i-offended-you-using-facts,https___www_etsy_com_listing_1673483757_im-sorry-i-offended-you-using-facts,success,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1673483757_im-sorry-i-offended-you-using-facts.md,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1673483757_im-sorry-i-offended-you-using-facts.html,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1673483757_im-sorry-i-offended-you-using-facts_full.json,1,11.82,Show me 10 funny coffee mugs under $25 from Etsy,https://www.etsy.com/search?q=Show+me+10+funny+coffee+mugs+under+$25+from+Etsy&explicit=1&location_query=US&ship_to=US
2025-12-17 18:58:33,SEO,Show_me_10_funny_coffee_mugs_under__25_from_Etsy,7,https://www.etsy.com/listing/1545726965/c-u-next-tuesday-mug-funny-office-coffee,https___www_etsy_com_listing_1545726965_c-u-next-tuesday-mug-funny-office-coffee,success,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1545726965_c-u-next-tuesday-mug-funny-office-coffee.md,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1545726965_c-u-next-tuesday-mug-funny-office-coffee.html,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1545726965_c-u-next-tuesday-mug-funny-office-coffee_full.json,1,17.66,Show me 10 funny coffee mugs under $25 from Etsy,https://www.etsy.com/search?q=Show+me+10+funny+coffee+mugs+under+$25+from+Etsy&explicit=1&location_query=US&ship_to=US
2025-12-17 18:58:49,SEO,Show_me_10_funny_coffee_mugs_under__25_from_Etsy,8,https://www.etsy.com/listing/1355460428/funny-coffee-cups-jeffrey-dahmere-mug,https___www_etsy_com_listing_1355460428_funny-coffee-cups-jeffrey-dahmere-mug,success,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1355460428_funny-coffee-cups-jeffrey-dahmere-mug.md,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1355460428_funny-coffee-cups-jeffrey-dahmere-mug.html,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1355460428_funny-coffee-cups-jeffrey-dahmere-mug_full.json,1,15.06,Show me 10 funny coffee mugs under $25 from Etsy,https://www.etsy.com/search?q=Show+me+10+funny+coffee+mugs+under+$25+from+Etsy&explicit=1&location_query=US&ship_to=US
2025-12-17 18:59:10,SEO,Show_me_10_funny_coffee_mugs_under__25_from_Etsy,9,https://www.etsy.com/listing/1274586191/im-sorry-i-offended-you-using-facts,https___www_etsy_com_listing_1274586191_im-sorry-i-offended-you-using-facts,success,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1274586191_im-sorry-i-offended-you-using-facts.md,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1274586191_im-sorry-i-offended-you-using-facts.html,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_1274586191_im-sorry-i-offended-you-using-facts_full.json,1,19.54,Show me 10 funny coffee mugs under $25 from Etsy,https://www.etsy.com/search?q=Show+me+10+funny+coffee+mugs+under+$25+from+Etsy&explicit=1&location_query=US&ship_to=US
2025-12-17 18:59:28,SEO,Show_me_10_funny_coffee_mugs_under__25_from_Etsy,10,https://www.etsy.com/listing/4312499363/dont-talk-to-me-until-i-smashed-my-p,https___www_etsy_com_listing_4312499363_dont-talk-to-me-until-i-smashed-my-p,success,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_4312499363_dont-talk-to-me-until-i-smashed-my-p.md,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_4312499363_dont-talk-to-me-until-i-smashed-my-p.html,outputs_etsy_final_2/Show_me_10_funny_coffee_mugs_under__25_from_Etsy/https___www_etsy_com_listing_4312499363_dont-talk-to-me-until-i-smashed-my-p_full.json,1,17.46,Show me 10 funny coffee mugs under $25 from Etsy,https://www.etsy.com/search?q=Show+me+10+funny+coffee+mugs+under+$25+from+Etsy&explicit=1&location_query=US&ship_to=US
